Variety,Shape,Sieve,Aroma,Flavor,Aftertaste,Acidity,Body,Uniformity,Balance,clean cup,Sweetness,Taster´s score,Final score
CR,FL,15,7.25,7.0,7.0,6.0,6.5,10.0,6.5,10,10,7.0,77.25
CR,FL,15,6.75,6.5,6.0,6.25,6.75,10.0,6.5,10,10,6.5,75.25
CR,FL,15,6.5,6.5,6.5,6.25,6.5,10.0,6.5,10,10,6.25,75.0
CR,FL,15,7.0,6.75,6.5,6.0,7.0,10.0,6.5,10,10,6.5,76.25
CR,FL,15,7.25,7.0,6.75,6.0,6.5,10.0,6.5,10,10,6.5,76.5
CR,FL,16,6.5,6.25,6.25,6.0,6.25,10.0,6.5,10,10,6.5,74.25
CR,FL,16,6.0,6.0,6.0,6.0,6.0,10.0,6.25,10,10,6.0,72.5
CR,FL,16,6.26,6.0,6.0,6.0,6.0,10.0,6.25,10,10,6.25,72.75
CR,FL,16,6.25,6.25,6.0,6.0,6.25,10.0,6.25,10,10,6.25,73.25
CR,FL,16,6.5,6.0,6.25,6.25,6.0,10.0,6.25,10,10,6.25,73.5
CR,FL,16,6.5,6.25,6.0,6.25,6.25,10.0,6.25,10,10,6.5,74.0
CR,FL,16,6.5,6.0,6.0,6.25,6.25,10.0,6.25,10,10,6.25,73.5
CR,FL,16,6.5,6.25,6.25,6.0,6.25,10.0,6.25,10,10,6.0,73.5
CR,FL,16,6.75,6.25,6.25,6.5,6.25,10.0,6.25,10,10,6.25,74.5
CR,FL,16,6.75,6.5,6.5,6.75,6.5,10.0,6.5,10,10,6.5,76.0
CR,FL,17,6.75,7.0,6.75,6.5,6.5,10.0,6.5,10,10,7.0,77.0
CR,FL,17,6.75,6.5,6.25,6.25,6.25,10.0,6.5,10,10,6.5,75.0
CR,FL,17,6.5,6.25,6.25,6.5,6.25,10.0,6.25,10,10,6.0,74.0
CR,FL,17,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.0
